school_id,year,school_name,county_name,enrollment,current,med_exempt,rel_exempt,school_type,school_level,excluded_note,addr_clean,city,zip,state,business_status,lat,lon
27735,2022,park dale lane elementary,san diego,58,57,0,0,public,NA,NA,2050 park dale ln,Encinitas,92024,ca,operational,33.047131,-117.242722
28296,2022,tierra bonita elementary,san diego,64,63,0,0,public,NA,NA,14678 tierra bonita rd,Poway,92064,ca,operational,32.980808,-117.029022
19052,2022,moulton elementary,orange,94,92,0,0,public,NA,NA,29851 highlands ave,Laguna Niguel,92677,ca,operational,33.529099,-117.723801
19423,2022,s. a. moffett elementary,orange,56,55,0,0,public,NA,NA,8800 burlcrest dr,Huntington Beach,92646,ca,operational,33.667984,-117.974319
14968,2013,weigand avenue elementary,los angeles,91,84,0,0,public,NA,NA,10401 weigand ave,Los Angeles,90002,ca,operational,33.941711,-118.230186
18274,2022,franklin elementary,orange,75,73,0,0,public,NA,NA,210 w cubbon st,Santa Ana,92701,ca,operational,33.735443,-117.869278
18824,2022,linda vista elementary,orange,79,76,0,0,public,NA,NA,1200 n cannon st,Orange,92869,ca,operational,33.808891,-117.795609
23817,2022,spring grove elementary,san benito,77,74,0,0,public,NA,NA,500 spring grove rd,Hollister,95023,ca,operational,36.914623,-121.359619
29703,2022,mable barron,san joaquin,98,96,0,0,public,NA,NA,6835 cumberland pl,Stockton,95219,ca,operational,38.007603,-121.364525
14968,2014,weigand avenue elementary,los angeles,108,79,0,0,public,NA,NA,10401 weigand ave,Los Angeles,90002,ca,operational,33.941711,-118.230186
3722,2022,sierra house elementary,el dorado,70,69,0,0,public,NA,NA,1709 remington trl,South Lake Tahoe,96150,ca,operational,38.906788,-119.963249
31919,2022,brooktree elementary,santa clara,101,100,0,0,public,NA,NA,1781 olivetree dr,San Jose,95131,ca,operational,37.397713,-121.88015
32729,2022,majestic way elementary,santa clara,48,46,0,0,public,NA,NA,1855 majestic way,San Jose,95132,ca,operational,37.410286,-121.857643
33385,2022,summerdale elementary,santa clara,38,36,0,0,public,NA,NA,1100 summerdale dr,San Jose,95132,ca,operational,37.390114,-121.851639
32699,2022,los paseos elementary,santa clara,78,76,0,0,public,NA,NA,121 avenida grande,San Jose,95139,ca,operational,37.228001,-121.769768
14968,2015,weigand avenue elementary,los angeles,98,94,0,0,public,NA,NA,10401 weigand ave,Los Angeles,90002,ca,operational,33.941711,-118.230186
31836,2022,baldwin (julia) elementary,santa clara,80,78,0,0,public,NA,NA,280 martinvale ln,San Jose,95119,ca,operational,37.223862,-121.783134
11720,2022,meadows elementary,los angeles,78,76,0,0,public,NA,NA,25577 n fedala rd,Santa Clarita,91355,ca,operational,34.391499,-118.554901
35174,2022,hidden valley elementary,sonoma,71,70,0,0,public,NA,NA,3435 bonita vista dr,Santa Rosa,95404,ca,operational,38.473377,-122.70034
8655,2022,cyrus j. morris elementary,los angeles,92,90,0,0,public,NA,NA,19875 e calle baja dr,Walnut,91789,ca,operational,34.012985,-117.868141
36031,2022,stockard coffee elementary,stanislaus,57,55,2,0,public,NA,NA,3900 northview dr,Modesto,95355,ca,operational,37.694916,-120.967102
32509,2022,john j. montgomery elementary,santa clara,82,80,0,0,public,NA,NA,2010 daniel maloney dr,San Jose,95121,ca,operational,37.306591,-121.801094
2699,2022,greenbrook elementary,contra costa,139,138,0,0,public,NA,NA,1475 harlan dr,Danville,94526,ca,operational,37.791431,-121.974457
19346,2022,rancho canada elementary,orange,109,108,0,0,public,NA,NA,21801 winding way,Lake Forest,92630,ca,operational,33.645969,-117.691521
26709,2022,hancock elementary,san diego,185,183,0,0,public,NA,NA,3303 taussig st,San Diego,92124,ca,operational,32.806362,-117.108459
6085,2022,rosedale-north elementary,kern,78,76,0,0,public,NA,NA,11500 meacham rd,Bakersfield,93312,ca,operational,35.39143,-119.129868
22895,2022,james marshall elementary,sacramento,38,36,0,0,public,NA,NA,9525 goethe rd,Sacramento,95827,ca,operational,38.555435,-121.343086
22778,2022,genevieve didion,sacramento,67,66,0,0,public,NA,NA,6490 harmon dr,Sacramento,95831,ca,operational,38.508545,-121.550201
18103,2022,deerfield elementary,orange,89,87,0,0,public,NA,NA,2 deerfield ave,Irvine,92604,ca,operational,33.693829,-117.791939
19656,2022,stonegate elementary,orange,137,136,0,0,public,NA,NA,100 honors,Irvine,92620,ca,operational,33.707169,-117.73922
19654,2022,stone creek elementary,orange,45,43,0,0,public,NA,NA,2 stone creek s,Irvine,92604,ca,operational,33.684593,-117.80275
3156,2022,rio vista elementary,contra costa,89,87,0,0,public,NA,NA,611 pacifica ave,Bay Point,94565,ca,operational,38.033401,-121.973969
2674,2022,gehringer elementary,contra costa,138,137,0,0,public,NA,NA,100 simoni ranch rd,Oakley,94561,ca,operational,37.975273,-121.699951
30076,2022,baywood elementary,san luis obispo,84,82,0,0,public,NA,NA,1330 9th st,Baywood-Los Osos,93402,ca,operational,35.32716,-120.832489
18526,2022,imperial elementary,orange,61,60,0,0,public,NA,NA,400 s imperial hwy,Anaheim,92807,ca,operational,33.845051,-117.789192
27998,2022,san onofre elementary,san diego,107,100,0,0,public,NA,NA,200 pate rd,San Clemente,92672,ca,operational,33.39035,-117.573814
923,2022,la escuelita,alameda,67,66,0,0,public,NA,NA,1100 3rd ave,Oakland,94606,ca,operational,37.795849,-122.257225
38034,2022,zamora elementary,yolo,60,59,0,0,public,NA,NA,1716 cottonwood st,Woodland,95695,ca,operational,38.658127,-121.794685
35184,2022,j. x. wilson elementary,sonoma,80,78,0,0,public,NA,NA,246 brittain ln,Santa Rosa,95401,ca,operational,38.433128,-122.748352
37418,2022,los primeros school of sciences & arts,ventura,64,63,0,0,public,NA,NA,1555 kendall ave,Camarillo,93010,ca,operational,34.233665,-119.0308
26296,2022,dailard elementary,san diego,94,92,0,0,public,NA,NA,6425 cibola rd,San Diego,92120,ca,operational,32.80505,-117.053108
14987,2013,west athens elementary,los angeles,159,114,0,0,public,NA,NA,1110 w 119th st,Los Angeles,90044,ca,operational,33.924438,-118.294502
6162,2022,stockdale elementary,kern,97,95,0,0,public,NA,NA,7801 kroll way,Bakersfield,93309,ca,operational,35.349228,-119.089264
22152,2022,vail elementary,riverside,121,118,0,0,public,NA,NA,29835 mira loma dr,Temecula,92592,ca,operational,33.502674,-117.136543
19948,2022,woodsboro elementary,orange,83,81,0,0,public,NA,NA,7575 e woodsboro ave,Anaheim,92807,ca,operational,33.868301,-117.773476
18607,2022,john o. tynes elementary,orange,123,117,0,0,public,NA,NA,735 stanford dr,Placentia,92870,ca,operational,33.87286,-117.856491
14987,2014,west athens elementary,los angeles,148,87,0,0,public,NA,NA,1110 w 119th st,Los Angeles,90044,ca,operational,33.924438,-118.294502
4434,2022,miramonte elementary,fresno,76,74,0,0,public,NA,NA,1590 bellaire ave,Clovis,93611,ca,operational,36.790749,-119.68692
37578,2022,portola elementary,ventura,73,72,0,0,public,NA,NA,6700 eagle st,Ventura,93003,ca,operational,34.264301,-119.201927
17763,2022,bonita canyon elementary,orange,48,45,0,0,public,NA,NA,1 sundance dr,Irvine,92603,ca,operational,33.63385,-117.812614
35090,2022,evergreen elementary,sonoma,111,109,0,0,public,NA,NA,1125 emily ave,Rohnert Park,94928,ca,operational,38.357517,-122.690254
22795,2022,golden empire elementary,sacramento,55,53,0,0,public,NA,NA,9045 canberra dr,Sacramento,95826,ca,operational,38.541393,-121.366524
14987,2015,west athens elementary,los angeles,166,142,0,0,public,NA,NA,1110 w 119th st,Los Angeles,90044,ca,operational,33.924438,-118.294502
2931,2022,lupine hills elementary,contra costa,80,78,0,0,public,NA,NA,1919 lupine rd,Hercules,94547,ca,operational,38.007156,-122.253052
221,2015,berkwood hedge,alameda,13,12,0,0,private,NA,NA,1809 bancroft way,Berkeley,94703,ca,operational,37.866978,-122.274292
2995,2022,montevideo elementary,contra costa,132,131,0,0,public,NA,NA,13000 broadmoor dr,San Ramon,94583,ca,operational,37.756321,-121.950165
27786,2022,potrero elementary,san diego,47,45,0,0,public,NA,NA,24875 potrero valley rd,Potrero,91963,ca,operational,32.610546,-116.612724
27895,2022,rolling hills elementary,san diego,87,85,0,0,public,NA,NA,15255 penasquitos dr,San Diego,92129,ca,operational,32.99017,-117.092278
26074,2022,chaparral elementary,san diego,166,164,0,0,public,NA,NA,17250 tannin dr,Poway,92064,ca,operational,33.023903,-117.051086
17402,2022,deer creek elementary,nevada,66,65,0,0,public,NA,NA,805 lindley ave,Nevada City,95959,ca,operational,39.251522,-121.029572
17657,2022,anaheim hills elementary,orange,86,84,0,0,public,NA,NA,6450 e serrano,Anaheim,92807,ca,operational,33.830002,-117.760803
18706,2022,la madera elementary,orange,64,63,0,0,public,NA,NA,25350 serrano rd,Lake Forest,92630,ca,operational,33.639404,-117.689316
18438,2022,harold ambuehl elementary,orange,53,50,0,0,public,NA,NA,28001 san juan creek rd,San Juan Capistrano,92675,ca,operational,33.503628,-117.644775
